moniker,account,signedBlocks,signedBlocksPartOfTotal
nananninda,evmos1wm7qrmy82quvuq322xv0ql4xtau28q45fdvgpt,285871,0.3624603142
mawarchan,evmos19fj6u5nudl6xvhsy3v8q3q7ys6nm5ndua5lp82,4246,0.0053835698
0xknowledge,evmos1yw6zvukz9n3t90203gz53d8w0x8hdxjhqujjy9,6633,0.0084100844
lala_nebula,evmos17d4vf7kjfahgn2qat3qqucy70txhua3npqz2tu,106482,0.135010194
FFServer,evmos14amdmygc4r3qchuul7yd0s0jlgyn0qydhrfrp9,575436,0.7296043088
CosmosArmy,evmos1ltc28ayef2egp8g8hpqu06l338746ssyjxjrhv,398671,0.5054811993
scryotic,evmos123tldpzlr3yrkln5qqzf00quz5a3jdt0adl38u,9251,0.0117294876
<myvalidator>,evmos1cp2xk7a8txrkz5vf0l4mgc5qx7up8hlkfqq3cj,215537,0.273282735
<myvalidator>,evmos17q3z5l02ng77astx0w7u8arqqc82wuwpvcmqzj,61765,0.07831281
point-xnet-trito,evmos1vfh6t4cuhpw5zdzmcwgpghys6pha65t65dp2zp,256838,0.3256489192
kanceuh,evmos1hzm0te6pfqs86z7hf9ejl9gctgl6sqker3794y,5984,0.0075872072
mymonikkerr,evmos1uzwfry3nlrsc36j88zlk0un6nfyn6rrzm0g2d7,700,0.0008875409
👋 79anvi 🍀,evmos19d3wd5edrm0pp620nn9secdnhf0ldlsmtv4f3l,127468,0.1616186718
abandoned,evmos1kzeh6hpmfa8rux9h8hcs0qgysqwlv7jjxulk5l,485121,0.6150925071
lulzech,evmos1fuf5pnmcn7wvldnx5jld0nfun8pfjpk8jq34dj,370330,0.4695472019
Sange_And_Yasha,evmos1pedneyh6txmx9pa0txuup4tc3ae5nzc47pq2sp,477289,0.6051621917
kopi99,evmos12l6djm698g7gswehngfur8k6jlaq45x6q4hshd,32357,0.0410259466
pilngemot,evmos1a5vf3lhxqxp2uenxnx3cu8k2zqdkzj5kefplzy,22603,0.0286586973
blacktokyo,evmos1ev03gwq25aazalhvxd9uxx8ssa7qc9rmyxadaj,553386,0.7016467688
AHNesiaNews,evmos16hp6u9p6ykent56zt9gqehhc0utrd436rtturm,572477,0.7258525464
StakeBroker,evmos1ylj36axpu99p9aanetr4c9ltfhd97yymtz27qt,152381,0.1932062543
<myvalidator>,evmos1s4ffxdqyw28ln74umzafpnze5p70q8xr4hzluc,301869,0.3827444287
daus1,evmos1zhckrjmtd89ug4mah4ga8j2y5pxvld67um50mm,45591,0.0578055423
<myvalidator>,evmos15vc89s2r5qdeg8nhv44ea9r3wqg2w3dqavspet,144322,0.1829881221
tayan,evmos17rxud5nh2aqly58cmpdl0y323dsckqzh4m2emr,156802,0.1988117094
SkyMatriX,evmos1534cjwxupar4syjlj9vxvdf8j93e883jra8pwd,84647,0.1073252558
ossidator,evmos1c93luflpafzuqle6u742f5dwjnn2ut4yq5rytc,77409,0.0981480824
metskuy,evmos1hqgwg9v5lluuqj6lpyak0wfneeatj5aaf59qr8,111501,0.1413738626
metil,evmos1nqmzss5lywaja29x0alng6n7kyynk8t0m72a5k,2184,0.0027691277
ismaonezain,evmos1aaatyhtfa2wrade88sn67ltu9v2r9f7w5f7xzr,444081,0.5630572489
tegar,evmos14txs30s40tw48lefqgk5gftn6q98d3sekc4sr5,39150,0.0496388976
ZACKY,evmos1jrjksujhanz3t028uk8edyun4l8rhld5kmpgzk,420378,0.5330038443
ZxSenpai,evmos1yhqj7tqp4gs048zgtmgscpjxft3kxprkmmjya2,365382,0.4632735553
elang,evmos13upmm36evdedccpm8rkxcpzkk2vusnz34tlnxc,23265,0.0294980575
gsawan,evmos1s69zpl62yn5w909pt8zr5eazw4wv5e5padcqrz,30,0.0000380374
suparid,evmos1me2hr67vrtrd3hrcmrljz4hq2vudcn6qcm4x6k,296246,0.375614939
